Time	X	Y	Arm
51.6	0.718818	21.0857	-1
51.7	0.690996	20.533	-1
51.8	0.684589	20.2306	-1
51.9	0.607257	19.9575	-1
52	0.513704	19.6157	-1
52.1	0.256632	18.9927	-1
52.2	0.209236	18.41	-1
52.3	0.478825	17.6858	-1
52.4	0.602703	17.3536	-1
52.5	0.783793	17.0823	-1
52.6	0.76053	16.9553	-1
52.7	0.807972	16.6532	-1
52.8	0.833524	16.515	-1
52.9	0.827601	16.4024	-1
53	0.810649	16.2061	-1
53.1	0.833136	15.8903	-1
53.2	0.824519	15.8889	-1
53.3	0.930453	15.3481	-1
53.4	1.04388	15.2263	-1
53.5	1.07302	14.0918	-1
53.6	0.71236	13.2679	-1
53.7	-0.057408	11.0995	-1
53.8	-0.353171	10.0939	-1
53.9	0.245852	8.52205	-1
54	0.552061	7.9454	-1
54.1	0.901679	6.80291	-1
54.2	1.07252	6.51626	-1
54.3	1.38934	6.46516	-1
54.4	1.56309	6.52777	-1
54.5	1.9171	6.46041	-1
54.6	2.02686	6.54349	-1
54.7	2.1809	6.89716	-1
54.8	2.30888	7.01265	-1
54.9	2.69209	7.26184	-1
55	2.71931	7.6233	-1
55.1	2.26271	8.15696	-1
55.2	2.22813	8.22543	-1
55.3	2.49895	7.99532	-1
55.4	2.5767	7.98406	-1
55.5	2.88605	7.94918	-1
55.6	2.97184	7.98572	-1
55.7	3.15707	8.00268	-1
55.8	3.21505	8.00997	-1
55.9	3.32601	8.04594	-1
56	3.28602	8.04539	-1
56.1	3.22346	8.1309	-1
56.2	2.85758	8.43629	-1
56.3	2.19116	8.86617	-1
56.4	1.8191	9.11736	-1
56.5	1.39499	9.54379	-1
56.6	1.34994	9.73459	-1
56.7	1.29804	9.85701	-1
56.8	0.929434	10.087	-1
56.9	1.31468	10.1419	-1
57	1.61059	9.53018	-1
57.1	1.69554	8.58222	-1
57.2	1.76837	8.22256	-1
57.3	2.20452	7.02655	-1
57.4	2.25106	6.81987	-1
57.5	2.28941	6.73769	-1
57.6	2.2209	6.65008	-1
57.7	2.10159	6.35716	-1
57.8	2.06683	6.18512	-1
57.9	2.02269	6.06631	-1
58	1.94976	5.92502	-1
58.1	1.89797	5.91837	-1
58.2	1.83965	5.53548	-1
58.3	1.36537	5.27201	-1
58.4	1.16928	5.14876	-1
58.5	1.28434	5.20169	-1
58.6	1.24895	5.14839	-1
58.7	1.08119	4.97361	0
58.8	0.991066	4.91291	0
58.9	0.885644	4.89062	0
59	0.839364	4.89201	0
59.1	0.72465	4.84979	0
59.2	0.693478	4.83467	0
59.3	0.357574	4.68033	0
59.4	0.271319	4.64319	0
59.5	0.0156261	4.52849	0
59.6	-0.21998	4.26983	0
59.7	-0.539145	3.82551	0
59.8	-1.05239	3.5554	0
59.9	-2.31153	3.03295	0
60	-2.84094	2.48359	0
60.1	-3.59011	1.74696	0
60.2	-3.50365	1.75052	0
60.3	-3.51506	1.63492	0
60.4	-3.73537	1.62183	0
60.5	-4.224	1.45281	0
60.6	-4.47336	1.38834	0
60.7	-4.63756	1.41913	0
60.8	-5.01616	1.32354	1
60.9	-5.7119	1.13202	1
61	-5.68426	1.05459	1
61.1	-5.63702	0.974909	1
61.2	-5.66994	0.985248	1
61.3	-5.56292	1.07241	1
61.4	-5.52484	1.0767	1
61.5	-5.22097	1.28497	1
61.6	-5.19985	1.2376	1
61.7	-5.31198	1.20551	1
61.8	-5.35474	1.12111	1
61.9	-5.62388	0.940257	1
62	-5.85232	0.798115	1
62.1	-6.43499	0.806986	1
62.2	-6.75826	0.789202	1
62.3	-7.26225	0.946178	1
62.4	-7.39971	0.981431	1
62.5	-7.33943	0.970517	1
62.6	-7.31463	0.933487	1
62.7	-7.9863	0.595249	1
62.8	-8.50293	0.397992	1
62.9	-9.57452	0.175507	1
63	-9.94321	0.0554198	1
63.1	-10.2466	-0.121544	1
63.2	-10.0615	-0.0847743	1
63.3	-9.24885	0.154224	1
63.4	-8.87607	0.25626	1
63.5	-7.6111	0.720999	1
63.6	-6.97461	0.819407	1
63.7	-5.35783	1.20068	1
63.8	-5.23974	1.31228	1
63.9	-5.33055	1.42885	1
64	-5.21822	1.49926	1
64.1	-5.16492	1.44326	1
64.2	-5.20118	1.27639	1
64.3	-5.29796	1.15551	1
64.4	-5.45959	1.11054	1
64.5	-5.40864	1.18115	1
64.6	-5.34549	1.17982	1
64.7	-5.3158	1.16231	1
64.8	-5.30351	1.12178	1
64.9	-5.26674	1.18769	1
65	-5.21849	1.15475	1
65.1	-5.2198	1.16443	1
65.2	-5.22402	1.16773	1
65.3	-5.18434	1.15972	1
65.4	-5.17515	1.15066	1
65.5	-5.07516	1.18503	1
65.6	-5.06488	1.23317	1
65.7	-5.04452	1.23099	1
65.8	-5.06471	1.19181	1
65.9	-5.14292	1.19279	1
66	-5.1369	1.24613	1
66.1	-5.0436	1.33336	1
66.2	-4.97444	1.3621	0
66.3	-4.72304	1.33131	0
66.4	-4.64492	1.29731	0
66.5	-4.88338	1.24486	0
66.6	-4.94612	1.24268	0
66.7	-5.20685	1.16774	1
