Index	RecordTime	VideoTime	MI
346	34.6	172.3	6.06367
347	34.7	172.4	5.98
348	34.8	172.5	7.10925
349	34.9	172.6	6.93044
350	35	172.7	7.61996
351	35.1	172.8	8.03502
352	35.2	172.9	5.06105
353	35.3	173	6.88716
354	35.4	173.1	6.71032
355	35.5	173.2	8.86862
356	35.6	173.3	5.43851
357	35.7	173.4	7.55818
358	35.8	173.5	5.90173
359	35.9	173.6	6.10051
360	36	173.7	6.51752
361	36.1	173.8	5.11837
362	36.2	173.9	6.08507
363	36.3	174	5.93031
364	36.4	174.1	4.70067
365	36.5	174.2	5.24113
366	36.6	174.3	4.46584
367	36.7	174.4	5.80885
368	36.8	174.5	4.49232
369	36.9	174.6	5.03011
370	37	174.7	4.26151
371	37.1	174.8	4.71323
372	37.2	174.9	5.07545
373	37.3	175	4.6211
374	37.4	175.1	6.40939
375	37.5	175.2	5.77701
376	37.6	175.3	4.30691
377	37.7	175.4	4.26301
378	37.8	175.5	5.22409
379	37.9	175.6	5.73817
380	38	175.7	4.32022
381	38.1	175.8	5.30187
382	38.2	175.9	4.65943
383	38.3	176	5.48862
384	38.4	176.1	4.79308
385	38.5	176.2	5.42297
386	38.6	176.3	4.43081
387	38.7	176.4	5.24189
388	38.8	176.5	4.31976
389	38.9	176.6	4.93704
390	39	176.7	4.28855
391	39.1	176.8	5.33552
392	39.2	176.9	4.5543
393	39.3	177	5.23955
394	39.4	177.1	4.55591
395	39.5	177.2	5.67025
396	39.6	177.3	4.16747
397	39.7	177.4	4.7077
398	39.8	177.5	3.98121
399	39.9	177.6	5.59675
400	40	177.7	4.35316
401	40.1	177.8	5.29011
402	40.2	177.9	4.49971
403	40.3	178	6.5121
404	40.4	178.1	4.53028
405	40.5	178.2	6.68615
406	40.6	178.3	4.92182
407	40.7	178.4	6.61382
408	40.8	178.5	4.23576
409	40.9	178.6	6.1544
410	41	178.7	4.57201
411	41.1	178.8	6.63029
412	41.2	178.9	5.25384
413	41.3	179	7.1197
414	41.4	179.1	6.51583
415	41.5	179.2	7.48872
416	41.6	179.3	5.24023
417	41.7	179.4	6.55758
418	41.8	179.5	5.97143
419	41.9	179.6	7.72395
420	42	179.7	5.38804
421	42.1	179.8	7.02545
422	42.2	179.9	6.15105
423	42.3	180	6.53308
424	42.4	180.1	5.55823
425	42.5	180.2	6.41792
426	42.6	180.3	5.68205
427	42.7	180.4	6.25159
428	42.8	180.5	6.10133
429	42.9	180.6	7.77356
430	43	180.7	6.57316
431	43.1	180.8	6.79416
432	43.2	180.9	6.55039
433	43.3	181	6.76185
434	43.4	181.1	6.35761
435	43.5	181.2	7.19234
436	43.6	181.3	6.26881
437	43.7	181.4	6.76977
438	43.8	181.5	5.92395
439	43.9	181.6	7.48073
440	44	181.7	6.74288
441	44.1	181.8	6.80779
442	44.2	181.9	5.77894
443	44.3	182	6.67316
444	44.4	182.1	5.8039
445	44.5	182.2	6.71058
446	44.6	182.3	5.14423
447	44.7	182.4	5.9323
448	44.8	182.5	5.25926
449	44.9	182.6	6.75558
450	45	182.7	5.93269
451	45.1	182.8	8.04585
452	45.2	182.9	6.74709
453	45.3	183	7.93127
454	45.4	183.1	5.76371
455	45.5	183.2	8.25198
456	45.6	183.3	5.81772
457	45.7	183.4	6.19083
458	45.8	183.5	7.22553
459	45.9	183.6	6.8703
460	46	183.7	8.00802
461	46.1	183.8	6.96408
462	46.2	183.9	8.57601
463	46.3	184	8.15393
464	46.4	184.1	10.5133
465	46.5	184.2	9.05908
466	46.6	184.3	7.39336
467	46.7	184.4	8.19668
468	46.8	184.5	7.89966
469	46.9	184.6	6.43994
470	47	184.7	6.86753
471	47.1	184.8	8.51193
472	47.2	184.9	8.85867
473	47.3	185	6.73104
474	47.4	185.1	6.81881
475	47.5	185.2	7.0142
476	47.6	185.3	8.73651
477	47.7	185.4	7.58358
478	47.8	185.5	9.27013
479	47.9	185.6	7.86068
480	48	185.7	7.47099
481	48.1	185.8	8.03364
482	48.2	185.9	8.13715
483	48.3	186	8.9572
484	48.4	186.1	10.3315
485	48.5	186.2	8.47556
486	48.6	186.3	8.22665
487	48.7	186.4	8.26734
488	48.8	186.5	8.35691
489	48.9	186.6	7.31937
490	49	186.7	6.26449
491	49.1	186.8	9.00463
492	49.2	186.9	8.7952
493	49.3	187	6.57042
494	49.4	187.1	7.56623
495	49.5	187.2	7.23746
496	49.6	187.3	6.76308
497	49.7	187.4	7.79787
498	49.8	187.5	7.82669
499	49.9	187.6	6.55465
500	50	187.7	6.56797
501	50.1	187.8	7.56087
502	50.2	187.9	7.14083
503	50.3	188	6.76227
504	50.4	188.1	7.66604
505	50.5	188.2	5.87909
506	50.6	188.3	8.56834
507	50.7	188.4	7.28847
508	50.8	188.5	8.7957
509	50.9	188.6	6.3828
510	51	188.7	7.35996
511	51.1	188.8	7.61804
512	51.2	188.9	8.1869
513	51.3	189	6.75362
514	51.4	189.1	9.03707
515	51.5	189.2	8.04876
516	51.6	189.3	8.04192
517	51.7	189.4	8.21713
518	51.8	189.5	8.65871
519	51.9	189.6	7.2206
520	52	189.7	7.27603
521	52.1	189.8	5.94771
522	52.2	189.9	6.17196
523	52.3	190	7.91091
524	52.4	190.1	8.08025
525	52.5	190.2	7.3717
526	52.6	190.3	7.52571
527	52.7	190.4	5.76103
528	52.8	190.5	5.83404
529	52.9	190.6	7.37062
530	53	190.7	8.16391
531	53.1	190.8	7.68295
532	53.2	190.9	7.01648
533	53.3	191	6.77453
534	53.4	191.1	7.06537
535	53.5	191.2	6.73695
536	53.6	191.3	7.91461
537	53.7	191.4	6.62803
538	53.8	191.5	6.34302
539	53.9	191.6	8.21491
540	54	191.7	8.17964
541	54.1	191.8	9.56161
542	54.2	191.9	8.39561
543	54.3	192	7.65199
544	54.4	192.1	9.99729
545	54.5	192.2	8.8816
546	54.6	192.3	11.7219
547	54.7	192.4	7.02352
548	54.8	192.5	10.0269
549	54.9	192.6	9.18887
550	55	192.7	8.85947
551	55.1	192.8	6.78316
552	55.2	192.9	6.4591
553	55.3	193	7.53489
554	55.4	193.1	7.97348
555	55.5	193.2	7.11513
556	55.6	193.3	7.99943
557	55.7	193.4	7.77198
558	55.8	193.5	9.93257
559	55.9	193.6	7.20393
560	56	193.7	9.52859
561	56.1	193.8	7.11326
562	56.2	193.9	8.15733
563	56.3	194	6.89165
564	56.4	194.1	8.50026
565	56.5	194.2	8.02241
566	56.6	194.3	8.43261
567	56.7	194.4	6.81488
568	56.8	194.5	7.59475
569	56.9	194.6	6.38773
570	57	194.7	7.09867
571	57.1	194.8	6.01274
572	57.2	194.9	6.4721
573	57.3	195	5.35767
574	57.4	195.1	6.15784
575	57.5	195.2	5.57235
576	57.6	195.3	5.99734
577	57.7	195.4	5.34687
578	57.8	195.5	6.39449
579	57.9	195.6	5.6473
580	58	195.7	6.53933
581	58.1	195.8	5.6524
582	58.2	195.9	6.67959
583	58.3	196	5.82037
584	58.4	196.1	7.15696
585	58.5	196.2	6.6837
586	58.6	196.3	6.66236
587	58.7	196.4	6.34023
588	58.8	196.5	7.50328
589	58.9	196.6	5.43739
590	59	196.7	7.48276
591	59.1	196.8	6.08564
592	59.2	196.9	6.8676
593	59.3	197	5.31781
594	59.4	197.1	6.32737
595	59.5	197.2	5.47069
596	59.6	197.3	5.06257
597	59.7	197.4	6.3131
598	59.8	197.5	7.06226
599	59.9	197.6	5.99487
600	60	197.7	6.62498
601	60.1	197.8	6.38323
602	60.2	197.9	7.31552
603	60.3	198	6.07288
604	60.4	198.1	7.64637
605	60.5	198.2	6.43764
606	60.6	198.3	6.15504
607	60.7	198.4	5.55241
608	60.8	198.5	6.33843
609	60.9	198.6	5.13288
610	61	198.7	6.11324
611	61.1	198.8	5.87714
612	61.2	198.9	5.35295
613	61.3	199	7.53564
614	61.4	199.1	6.47225
615	61.5	199.2	6.58184
616	61.6	199.3	8.1543
