Time	X	Y
73.8	34.2321	25.7838
73.9	34.0714	28.3784
74	34.0714	30.1622
74.1	34.0714	30.1622
74.2	34.0714	31.2973
74.3	34.0714	30.6486
74.4	34.0714	30.6486
74.5	34.3125	30.4054
74.6	34.3929	30.2432
74.7	34.3929	30.2432
74.8	34.3929	30.2432
74.9	34.3929	30.0811
75	34.3929	30.0811
75.1	34.4732	30.3243
75.2	34.4732	30.5676
75.3	33.9911	30.4054
75.4	33.5893	30.5676
75.5	33.2679	30.6486
75.6	33.2679	30.6486
75.7	33.5089	30.1622
75.8	33.5089	30.1622
75.9	33.75	29.9189
76	33.75	30.0811
76.1	33.9107	30.4865
76.2	33.9107	30.7297
76.3	33.9107	30.7297
76.4	33.8304	30.4054
76.5	33.75	30.0811
76.6	33.5089	29.3514
76.7	33.4286	29.1081
76.8	32.625	28.6216
76.9	32.625	28.6216
77	30.8571	28.3784
77.1	28.6875	28.3784
77.2	27.4018	28.2162
77.3	26.1161	28.0541
77.4	22.8214	28.2162
77.5	21.4554	28.2973
77.6	20.1696	28.2973
77.7	20.1696	28.2973
77.8	16.6339	29.5135
77.9	15.6696	29.9189
78	13.9821	30.8108
78.1	13.0179	31.6216
78.2	12.6161	31.6216
78.3	12.375	31.7027
78.4	12.375	31.7027
78.5	10.125	33
78.6	10.0446	33
78.7	9.24107	33.4865
78.8	8.83929	33.4865
78.9	8.11607	33.4865
79	7.55357	33.5676
79.1	7.55357	33.5676
79.2	6.83036	33.7297
79.3	6.66964	33.8108
79.4	6.58929	33.8108
79.5	6.58929	33.8108
79.6	6.58929	33.8108
79.7	6.58929	33.8919
79.8	6.42857	33.973
79.9	6.02679	34.0541
80	5.625	34.0541
80.1	5.54464	34.0541
80.2	4.74107	33.973
80.3	4.5	34.0541
80.4	4.25893	34.2162
80.5	4.66071	34.2973
80.6	5.625	34.2973
80.7	5.78571	34.2162
80.8	5.78571	34.2162
80.9	5.14286	34.2162
81	5.14286	34.2162
81.1	5.0625	34.2162
81.2	5.0625	34.2162
81.3	5.0625	34.2162
81.4	4.82143	34.1351
81.5	4.66071	34.1351
81.6	4.5	33.973
81.7	4.58036	33.973
81.8	4.41964	33.8919
81.9	4.25893	33.7297
82	4.09821	33.4054
82.1	4.09821	33.4054
82.2	3.53571	33.0811
82.3	3.375	33
82.4	3.29464	33
82.5	3.375	33
82.6	3.375	33
82.7	3.375	32.9189
82.8	3.375	32.7568
82.9	3.29464	32.5135
83	3.21429	32.1892
83.1	3.13393	32.1892
83.2	3.13393	32.1892
83.3	3.13393	32.2703
83.4	3.13393	32.2703
83.5	3.13393	32.2703
83.6	3.13393	32.2703
83.7	3.13393	32.2703
83.8	3.13393	32.2703
83.9	3.05357	32.1081
84	2.97321	32.027
84.1	2.97321	32.027
84.2	2.73214	31.7838
84.3	2.33036	31.3784
84.4	2.33036	31.0541
84.5	2.33036	31.0541
84.6	2.33036	31.0541
84.7	2.25	30.973
84.8	2.25	30.6486
84.9	2.33036	30.0811
85	2.33036	29.8378
85.1	2.08929	29.2703
85.2	1.76786	28.8649
85.3	1.76786	28.8649
85.4	1.92857	28.6216
85.5	2.00893	28.6216
85.6	1.92857	28.4595
85.7	1.76786	28.4595
85.8	1.76786	28.6216
85.9	1.76786	28.6216
86	1.76786	28.6216
86.1	1.84821	28.7027
86.2	1.84821	28.7838
86.3	1.76786	28.7027
86.4	1.76786	28.5405
86.5	1.76786	28.6216
86.6	2.00893	28.6216
86.7	2.16964	28.5405
86.8	2.16964	27.8919
